Datetime,Water Level (m)
2024-05-11 06:00:00,-0.46005046
2024-05-11 07:00:00,-0.56270105
2024-05-11 08:00:00,-0.30171052
2024-05-11 09:00:00,0.13879342
2024-05-11 10:00:00,0.5238478
2024-05-11 11:00:00,0.98268026
2024-05-11 12:00:00,1.1634188
2024-05-11 13:00:00,1.1750722
2024-05-11 14:00:00,0.9480851
2024-05-11 15:00:00,0.6438557
2024-05-11 16:00:00,0.35365665
2024-05-11 17:00:00,0.07181217
2024-05-11 18:00:00,-0.13479893
2024-05-11 19:00:00,-0.29488662
2024-05-11 20:00:00,-0.42327335
2024-05-11 21:00:00,-0.27653974
2024-05-11 22:00:00,0.15335019
2024-05-11 23:00:00,0.44683647
2024-05-12 00:00:00,0.7522919
2024-05-12 01:00:00,0.771302
2024-05-12 02:00:00,0.6148462
2024-05-12 03:00:00,0.37428337
2024-05-12 04:00:00,0.13481921
2024-05-12 05:00:00,-0.08220717
2024-05-12 06:00:00,-0.251295
2024-05-12 07:00:00,-0.40594015
2024-05-12 08:00:00,-0.49532145
2024-05-12 09:00:00,-0.20390844
2024-05-12 10:00:00,0.25250253
2024-05-12 11:00:00,0.65195847
2024-05-12 12:00:00,1.0608032
2024-05-12 13:00:00,1.1782929
2024-05-12 14:00:00,1.0939299
2024-05-12 15:00:00,0.8158026
2024-05-12 16:00:00,0.5439024
2024-05-12 17:00:00,0.26469433
2024-05-12 18:00:00,0.02916868
2024-05-12 19:00:00,-0.14352533
2024-05-12 20:00:00,-0.29671422
2024-05-12 21:00:00,-0.38733122
2024-05-12 22:00:00,-0.20146085
2024-05-12 23:00:00,0.12964194
2024-05-13 00:00:00,0.43368226
2024-05-13 01:00:00,0.6911885
2024-05-13 02:00:00,0.70661217
2024-05-13 03:00:00,0.54841673
2024-05-13 04:00:00,0.320124
2024-05-13 05:00:00,0.09293999
2024-05-13 06:00:00,-0.100483835
2024-05-13 07:00:00,-0.26104316
2024-05-13 08:00:00,-0.3916097
2024-05-13 09:00:00,-0.38473576
2024-05-13 10:00:00,-0.0026498074
2024-05-13 11:00:00,0.3197922
2024-05-13 12:00:00,0.7206825
2024-05-13 13:00:00,1.001321
2024-05-13 14:00:00,1.0765979
2024-05-13 15:00:00,0.9664895
2024-05-13 16:00:00,0.7079616
2024-05-13 17:00:00,0.45899183
2024-05-13 18:00:00,0.20142835
2024-05-13 19:00:00,0.0007068927
2024-05-13 20:00:00,-0.16082221
2024-05-13 21:00:00,-0.29884416
2024-05-13 22:00:00,-0.36057836
